,id,questionType,points,version,time,reason,score,reasoning,pretest
0,capybara,1.0,4.0,B,25.908,4,0.5,0.5,0.79
1,capybara,2.0,4.0,B,15.797749999999999,4,0.5,0.5,0.79
2,capybara,3.0,3.0,B,15.923,3,0.375,0.375,0.79
3,capybara,4.0,5.0,B,34.11714285714286,5,0.7142857142857143,0.7142857142857143,0.79
4,capybara,5.0,6.0,B,35.86671428571429,6,0.8571428571428571,0.8571428571428571,0.79
5,eagle,1.0,2.0,B,15.908,2,0.25,0.25,0.86
6,eagle,2.0,2.0,B,49.751666666666665,2,0.25,0.25,0.86
7,eagle,3.0,2.0,B,29.099333333333334,2,0.25,0.25,0.86
8,eagle,4.0,2.0,B,25.14414285714286,2,0.2857142857142857,0.2857142857142857,0.86
9,eagle,5.0,2.0,B,29.709600000000002,2,0.2857142857142857,0.2857142857142857,0.86
10,elephant,1.0,7.0,A,12.489625,6,0.875,0.75,1.0
11,elephant,2.0,6.0,A,20.908875000000002,5,0.75,0.625,1.0
12,elephant,3.0,6.0,A,41.688875,5,0.75,0.625,1.0
13,elephant,4.0,7.0,A,24.23671428571429,7,1.0,1.0,1.0
14,elephant,5.0,7.0,A,59.84285714285714,6,1.0,0.8571428571428571,1.0
15,giraffe,1.0,7.0,A,20.561,7,0.875,0.875,0.79
16,giraffe,2.0,7.0,A,9.083571428571428,7,0.875,0.875,0.79
17,giraffe,3.0,5.0,A,24.348000000000003,5,0.625,0.625,0.79
18,giraffe,4.0,4.0,A,24.23442857142857,4,0.5714285714285714,0.5714285714285714,0.79
19,giraffe,5.0,3.0,A,19.860999999999997,3,0.42857142857142855,0.42857142857142855,0.79
20,hedgehog,1.0,8.0,A,25.692875,5,1.0,0.625,0.79
21,hedgehog,2.0,6.0,A,11.445625,3,0.75,0.375,0.79
22,hedgehog,3.0,4.0,A,27.0685,3,0.5,0.375,0.79
23,hedgehog,4.0,5.0,A,21.82842857142857,5,0.7142857142857143,0.7142857142857143,0.79
24,hedgehog,5.0,6.0,A,14.887,6,0.8571428571428571,0.8571428571428571,0.79
25,hippo,1.0,3.0,B,51.188625,1,0.375,0.125,0.79
26,hippo,2.0,2.0,B,19.6606,2,0.25,0.25,0.79
27,hippo,3.0,1.0,B,32.8842,1,0.125,0.125,0.79
28,hippo,4.0,5.0,B,29.710285714285714,5,0.7142857142857143,0.7142857142857143,0.79
29,hippo,5.0,7.0,B,36.991,7,1.0,1.0,0.79
30,lemur,1.0,5.0,B,39.784625,4,0.625,0.5,0.71
31,lemur,2.0,4.0,B,21.893,4,0.5,0.5,0.71
32,lemur,3.0,2.0,B,37.36533333333333,2,0.25,0.25,0.71
33,lemur,4.0,5.0,B,26.487285714285715,4,0.7142857142857143,0.5714285714285714,0.71
34,lemur,5.0,6.0,B,55.97557142857143,5,0.8571428571428571,0.7142857142857143,0.71
35,lion,1.0,5.0,A,42.720375,3,0.625,0.375,0.71
36,lion,2.0,4.0,A,39.2624,3,0.5,0.375,0.71
37,lion,3.0,4.0,A,46.479,3,0.5,0.375,0.71
38,lion,4.0,6.0,A,19.395714285714288,5,0.8571428571428571,0.7142857142857143,0.71
39,lion,5.0,7.0,A,21.72442857142857,7,1.0,1.0,0.71
40,peacock,1.0,8.0,A,3.691375,7,1.0,0.875,0.71
41,peacock,2.0,8.0,A,8.744125,7,1.0,0.875,0.71
42,peacock,3.0,6.0,A,36.048,7,0.75,0.875,0.71
43,peacock,4.0,6.0,A,19.01085714285714,6,0.8571428571428571,0.8571428571428571,0.71
44,peacock,5.0,7.0,A,30.712142857142858,6,1.0,0.8571428571428571,0.71
45,penguin,1.0,2.0,B,11.736875,1,0.25,0.125,0.79
46,penguin,2.0,1.0,B,23.3505,1,0.125,0.125,0.79
47,penguin,3.0,1.0,B,40.52075,1,0.125,0.125,0.79
48,penguin,4.0,6.0,B,32.20385714285714,6,0.8571428571428571,0.8571428571428571,0.79
49,penguin,5.0,5.0,B,26.017714285714284,5,0.7142857142857143,0.7142857142857143,0.79
50,seal,1.0,6.0,A,12.572500000000002,6,0.75,0.75,0.86
51,seal,2.0,6.0,A,19.282666666666668,6,0.75,0.75,0.86
52,seal,3.0,4.0,A,30.164333333333335,4,0.5,0.5,0.86
53,seal,4.0,6.0,A,20.794,6,0.8571428571428571,0.8571428571428571,0.86
54,seal,5.0,6.0,A,33.795428571428566,6,0.8571428571428571,0.8571428571428571,0.86
55,zebra,1.0,4.0,B,28.400125,3,0.5,0.375,0.93
56,zebra,2.0,3.0,B,26.3714,3,0.375,0.375,0.93
57,zebra,3.0,2.0,B,32.8684,2,0.25,0.25,0.93
58,zebra,4.0,5.0,B,24.452285714285715,5,0.7142857142857143,0.7142857142857143,0.93
59,zebra,5.0,7.0,B,31.801142857142857,7,1.0,1.0,0.93
