pageName,question,answer,time,version,score,key,delta,participant
Background Questions,0,25,2024-12-05 03:29:00.817,undefined,,,0.0,pB
Background Questions,1,8th grade,2024-12-05 03:29:00.817,undefined,,,0.0,pB
Background Questions,2,adult,2024-12-05 03:29:00.817,undefined,,,0.0,pB
Background Questions,3,honors,2024-12-05 03:29:00.817,undefined,,,0.0,pB
P1,qID-2,MN,2024-12-05 03:30:18.527,B,1.0,MN,77.71,pB
P1,qID-3,HJ,2024-12-05 03:30:31.678,B,1.0,HJ,13.151,pB
P1,qID-1,BC,2024-12-05 03:30:39.843,B,1.0,BC,8.165,pB
P2,qID-1,Angle GHJ,2024-12-05 03:30:53.992,B,1.0,Angle GHJ,14.149,pB
P2,qID-2,Angle DEF,2024-12-05 03:31:00.031,B,1.0,Angle DEF,6.039,pB
P2,qID-3,Angle NQP,2024-12-05 03:31:05.693,B,1.0,Angle NQP,5.662,pB
P7,qID-1,RHL (Right-Hypotenuse-Leg),2024-12-05 03:31:41.163,B,1.0,RHL (Right-Hypotenuse-Leg),35.47,pB
P7,qID-13,No,2024-12-05 03:31:56.643,B,1.0,No,15.48,pB
P7,qID-12,Yes,2024-12-05 03:32:18.712,B,0.0,No,22.069,pB
P7,qID-11,"be the same shape and size, can be mirror images of each other",2024-12-05 03:32:47.702,B,1.0,"be the same shape and size, can be mirror images of each other",28.99,pB
P5,qID-1,AAS (Angle-Angle-Side),2024-12-05 03:32:59.209,B,1.0,AAS (Angle-Angle-Side),11.507,pB
P3,qID-1,SAS (Side-Angle-Side),2024-12-05 03:33:10.583,B,1.0,SAS (Side-Angle-Side),11.374,pB
P4,qID-1,SSS (Side-Side-Side),2024-12-05 03:33:21.075,B,1.0,SSS (Side-Side-Side),10.492,pB
P6,qID-1,ASA (Angle-Side-Angle),2024-12-05 03:33:30.002,B,1.0,ASA (Angle-Side-Angle),8.927,pB
TutorialProof1,qID-1,No,2024-12-05 03:36:53.899,A,,,203.897,pB
TutorialProof1,qID-2,No,2024-12-05 03:37:14.194,A,,,20.295,pB
TutorialProof2,qID-1,No,2024-12-05 03:38:22.127,A,,,67.933,pB
T1_S1_IN2,qID-0,Continue,2024-12-05 03:39:25.066,A,1.0,Continue,62.939,pB
T1_S1_IN2,qID-11,Yes,2024-12-05 03:39:30.954,A,1.0,Yes,5.888,pB
T1_S1_IN2,qID-12,Step 5,2024-12-05 03:39:46.567,A,1.0,Step 5,15.613,pB
T1_S1_IN2,qID-13,Open-ended Correct,2024-12-05 03:40:19.269,A,1.0,Open-ended Correct,32.702,pB
T1_S1_IN2,qID-2,No,2024-12-05 03:40:37.282,A,1.0,No,18.013,pB
T1_S1_IN2,qID-1,Yes,2024-12-05 03:41:03.789,A,1.0,Yes,26.507,pB
T1_S1_C2,qID-0,Continue,2024-12-05 03:41:59.732,A,1.0,Continue,55.943,pB
T1_S1_C2,qID-11,No,2024-12-05 03:42:10.378,A,3.0,No,10.646,pB
T1_S1_C2,qID-3,Yes,2024-12-05 03:42:27.738,A,1.0,Yes,17.36,pB
T1_S1_C2,qID-4,Yes,2024-12-05 03:42:40.500,A,1.0,Yes,12.762,pB
T1_S1_C1,qID-0,Continue,2024-12-05 03:43:28.668,A,1.0,Continue,48.168,pB
T1_S1_C1,qID-11,No,2024-12-05 03:43:33.287,A,3.0,No,4.619,pB
T1_S1_C1,qID-3,No,2024-12-05 03:43:45.500,A,1.0,No,12.213,pB
T1_S1_C1,qID-2,Yes,2024-12-05 03:43:57.893,A,1.0,Yes,12.393,pB
T1_S1_IN1,qID-0,Continue,2024-12-05 03:44:29.313,A,1.0,Continue,31.42,pB
T1_S1_IN1,qID-11,Yes,2024-12-05 03:44:33.105,A,1.0,Yes,3.792,pB
T1_S1_IN1,qID-12,Step 4,2024-12-05 03:44:41.170,A,1.0,Step 4,8.065,pB
T1_S1_IN1,qID-13,Open-ended Incorrect,2024-12-05 03:45:01.644,A,0.0,Open-ended Correct,20.474,pB
T1_S1_IN1,qID-3,No,2024-12-05 03:45:34.903,A,1.0,No,33.259,pB
T1_S1_IN1,qID-2,No,2024-12-05 03:46:04.390,A,1.0,No,29.487,pB
T1_S1_IN3,qID-0,Continue,2024-12-05 03:47:08.282,A,1.0,Continue,63.892,pB
T1_S1_IN3,qID-11,Yes,2024-12-05 03:47:09.826,A,1.0,Yes,1.544,pB
T1_S1_IN3,qID-12,Step 4,2024-12-05 03:47:12.497,A,1.0,Step 4,2.671,pB
T1_S1_IN3,qID-13,Open-ended Correct,2024-12-05 03:47:34.489,A,1.0,Open-ended Correct,21.992,pB
T1_S1_IN3,qID-3,Yes,2024-12-05 03:48:35.341,A,1.0,Yes,60.852,pB
T1_S2_IN2,qID-0,Continue,2024-12-05 03:49:50.298,A,1.0,Continue,74.957,pB
T1_S2_IN2,qID-11,Yes,2024-12-05 03:49:52.075,A,1.0,Yes,1.777,pB
T1_S2_IN2,qID-12,Step 7,2024-12-05 03:49:58.570,A,1.0,Step 7,6.495,pB
T1_S2_IN2,qID-13,Open-ended Correct,2024-12-05 03:50:18.051,A,1.0,Open-ended Correct,19.481,pB
T1_S2_IN2,qID-1,No,2024-12-05 03:50:32.359,A,1.0,No,14.308,pB
T1_S2_IN2,qID-2,No,2024-12-05 03:51:29.273,A,1.0,No,56.914,pB
T1_S2_C2,qID-0,Continue,2024-12-05 03:52:23.130,A,1.0,Continue,53.857,pB
T1_S2_C2,qID-11,No,2024-12-05 03:52:27.350,A,3.0,No,4.22,pB
T1_S2_C2,qID-2,No,2024-12-05 03:52:44.937,A,1.0,No,17.587,pB
T1_S2_C2,qID-1,No,2024-12-05 03:53:06.846,A,1.0,No,21.909,pB
T1_S2_IN1,qID-0,Continue,2024-12-05 03:54:12.533,A,1.0,Continue,65.687,pB
T1_S2_IN1,qID-11,Yes,2024-12-05 03:54:13.845,A,1.0,Yes,1.312,pB
T1_S2_IN1,qID-12,Step 8,2024-12-05 03:54:27.348,A,1.0,Step 8,13.503,pB
T1_S2_IN1,qID-13,Open-ended Correct,2024-12-05 03:55:15.616,A,1.0,Open-ended Correct,48.268,pB
T1_S2_IN1,qID-2,No,2024-12-05 03:55:31.347,A,1.0,No,15.731,pB
SUS,7,1,2024-12-05 03:57:23.160,undefined,,,111.813,pB
SUS,6,4,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,5,1,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,4,5,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,1,1,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,2,4,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,8,5,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,0,5,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,3,1,2024-12-05 03:57:23.160,undefined,,,0.0,pB
SUS,9,1,2024-12-05 03:57:23.160,undefined,,,0.0,pB
