pageName,question,answer,time
"Background Questions","0","12","1720620185310"
"Background Questions","1","1","1720620185310"
"Background Questions","2","1","1720620185310"
"TutorialProof1","qID-1","No","1720620222587"
"TutorialProof1","qID-2","No","1720620246148"
"TutorialProof2","qID-1","No","1720620258465"
"T1_S1_C1","qID-3","Yes","1720620523841"
"T1_S1_C1","qID-1","Yes","1720620472257"
"T1_S1_C1","qID-2","Yes","1720620489112"
"T1_S1_C3","qID-2","Yes","1720620581831"
"T1_S1_C3","qID-4","Yes","1720620627160"
"T1_S1_C3","qID-1","Yes","1720620609809"
"T1_S1_C3","qID-3","No","1720620585706"
"T1_S1_IN3","qID-2","No","1720620451153"
"T1_S1_IN3","qID-1","Yes","1720620438401"
"T1_S1_IN3","qID-3","Yes","1720620420584"
"T1_S1_IN1","qID-2","Yes","1720620300690"
"T1_S1_IN1","qID-1","Yes","1720620270705"
"T1_S1_IN2","qID-3","No","1720620395537"
"T1_S1_IN2","qID-1","Yes","1720620383249"
"T1_S1_C2","qID-4","Yes","1720620358074"
"T1_S1_C2","qID-1","No","1720620332001"
"T1_S1_C2","qID-2","Yes","1720620366367"
"T1_S1_C2","qID-3","Yes","1720620312224"
"T1_S2_IN2","qID-1","A step says the wrong segments/angles are congruent to each other","1720620705912"
"T1_S2_C1","qID-1","A step says the wrong segments/angles are congruent to each other","1720620714050"
"T1_S2_C2","qID-1","The proof is correct","1720620677137"
"T1_S2_IN1","qID-1","Some steps of the proof are in the wrong order","1720620708978"
"Static SUS","0","5","1720620727306"
"Static SUS","1","4","1720620727306"
"Static SUS","2","5","1720620727306"
"Static SUS","3","3","1720620727306"
"Static SUS","4","3","1720620727306"
"Static SUS","5","4","1720620727306"
"Static SUS","6","4","1720620727306"
"Static SUS","7","4","1720620727306"
"Static SUS","8","5","1720620727306"
"Static SUS","9","1","1720620727306"
"Interactive SUS","0","5","1720620741123"
"Interactive SUS","1","5","1720620741123"
"Interactive SUS","2","4","1720620741123"
"Interactive SUS","3","5","1720620741123"
"Interactive SUS","4","3","1720620741123"
"Interactive SUS","5","5","1720620741123"
"Interactive SUS","6","2","1720620741123"
"Interactive SUS","7","5","1720620741123"
"Interactive SUS","8","3","1720620741123"
"Interactive SUS","9","4","1720620741123"
