pageName,question,answer,time,version
"Background Questions","0","14","1721921762876","undefined"
"Background Questions","1","2023-2024","1721921762876","undefined"
"Background Questions","2","9","1721921762876","undefined"
"Background Questions","3","regular","1721921762876","undefined"
"P1","qID-1","BC","1721921776797","static"
"P1","qID-3","HJ","1721921784579","static"
"P1","qID-2","MN","1721921792529","static"
"P2","qID-2","Angle DEF","1721921801065","static"
"P2","qID-1","Angle GHJ","1721921807418","static"
"P2","qID-3","Angle NQP","1721921813425","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1721921823416","static"
"P6","qID-11","be the same shape and size, can be mirror images of each other","1721921844866","static"
"P6","qID-13","No","1721921848361","static"
"P6","qID-12","No","1721921851579","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1721921881999","static"
"P4","qID-1","SSS (Side-Side-Side)","1721921891307","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1721921902123","static"
"P3","qID-1","SAS (Side-Angle-Side)","1721921908573","static"
"TutorialProof1","qID-1","No","1721921987277","interactive"
"TutorialProof1","qID-2","No","1721922054321","interactive"
"TutorialProof2","qID-1","No","1721922083002","interactive"
"T1_S1_C1","qID-2","Yes","1721922160790","interactive"
"T1_S1_C1","qID-1","Yes","1721922214203","interactive"
"T1_S1_C1","qID-3","No","1721922226143","interactive"
"T1_S1_IN3","qID-3","Yes","1721922309224","static"
"T1_S1_IN3","qID-2","No","1721922376134","static"
"T1_S1_IN3","qID-1","Yes","1721922400758","static"
"T1_S1_IN1","qID-3","No","1721922548537","static"
"T1_S1_IN1","qID-2","No","1721922591334","static"
"T1_S1_IN1","qID-1","No","1721922636366","static"
"T1_S1_IN2","qID-2","No","1721922727482","interactive"
"T1_S1_IN2","qID-1","Yes","1721922760945","interactive"
"T1_S1_C2","qID-1","Yes","1721922801499","interactive"
"T1_S1_C2","qID-4","No","1721922843455","interactive"
"T1_S1_C2","qID-3","Yes","1721922871334","interactive"
"T1_S1_C2","qID-2","Yes","1721922889410","interactive"
"T1_S1_C3","qID-4","Yes","1721922993829","static"
"T1_S1_C3","qID-2","No","1721923007893","static"
"T1_S1_C3","qID-3","No","1721923019954","static"
"T1_S1_C3","qID-1","Yes","1721923031684","static"
"T1_S2_C1","qID-1","Yes","1721923173290","static"
"T1_S2_C1","qID-2","Step 8","1721923191073","static"
"T1_S2_C1","qID-3","There is not enough information to apply the theorem or definition","1721923202263","static"
"T1_S2_IN2","qID-1","Yes","1721923269179","interactive"
"T1_S2_IN2","qID-2","Step 7","1721923292875","interactive"
"T1_S2_IN2","qID-3","The step says the wrong things are congruent to each other (ex: incorrectly says PA is congruent to AC)","1721923303624","interactive"
"T1_S2_C2","qID-1","No","1721923381087","interactive"
"T1_S2_IN1","qID-1","Yes","1721923509155","static"
"T1_S2_IN1","qID-2","Step 8","1721923518448","static"
"T1_S2_IN1","qID-3","There is not enough information to apply the theorem or definition","1721923563532","static"
"Static SUS","0","4","1721923898389","undefined"
"Static SUS","1","1","1721923898389","undefined"
"Static SUS","2","5","1721923898389","undefined"
"Static SUS","3","1","1721923898389","undefined"
"Static SUS","4","5","1721923898390","undefined"
"Static SUS","5","1","1721923898390","undefined"
"Static SUS","6","5","1721923898390","undefined"
"Static SUS","7","1","1721923898390","undefined"
"Static SUS","8","4","1721923898391","undefined"
"Static SUS","9","2","1721923898391","undefined"
"Interactive SUS","0","5","1721923983544","undefined"
"Interactive SUS","1","1","1721923983544","undefined"
"Interactive SUS","2","5","1721923983545","undefined"
"Interactive SUS","3","1","1721923983545","undefined"
"Interactive SUS","4","5","1721923983546","undefined"
"Interactive SUS","5","1","1721923983546","undefined"
"Interactive SUS","6","5","1721923983547","undefined"
"Interactive SUS","7","1","1721923983547","undefined"
"Interactive SUS","8","5","1721923983547","undefined"
"Interactive SUS","9","2","1721923983548","undefined"
